type,country,date,stat
Inflation Rate (%),US,2022-01-31 00:00:00,7.48
Inflation Rate (%),US,2021-12-31 00:00:00,7.04
Inflation Rate (%),US,2021-11-30 00:00:00,6.81
Inflation Rate (%),US,2021-10-31 00:00:00,6.22
Inflation Rate (%),US,2021-09-30 00:00:00,5.39
Inflation Rate (%),US,2021-08-31 00:00:00,5.25
Inflation Rate (%),US,2021-07-31 00:00:00,5.37
Inflation Rate (%),US,2021-06-30 00:00:00,5.39
Inflation Rate (%),US,2021-05-31 00:00:00,4.99
Inflation Rate (%),US,2021-04-30 00:00:00,4.16
Inflation Rate (%),US,2021-03-31 00:00:00,2.62
Inflation Rate (%),US,2021-02-28 00:00:00,1.68
Inflation Rate (%),US,2021-01-31 00:00:00,1.4
Inflation Rate (%),US,2020-12-31 00:00:00,1.36
Inflation Rate (%),US,2020-11-30 00:00:00,1.17
Inflation Rate (%),US,2020-10-31 00:00:00,1.18
Inflation Rate (%),US,2020-09-30 00:00:00,1.37
Inflation Rate (%),US,2020-08-31 00:00:00,1.31
Inflation Rate (%),US,2020-07-31 00:00:00,0.99
Inflation Rate (%),US,2020-06-30 00:00:00,0.65
Inflation Rate (%),US,2020-05-31 00:00:00,0.12
Inflation Rate (%),US,2020-04-30 00:00:00,0.33
Inflation Rate (%),US,2020-03-31 00:00:00,1.54
Inflation Rate (%),US,2020-02-29 00:00:00,2.33
Inflation Rate (%),US,2020-01-31 00:00:00,2.49
Inflation Rate (%),US,2019-12-31 00:00:00,2.29
Inflation Rate (%),US,2019-11-30 00:00:00,2.05
Inflation Rate (%),US,2019-10-31 00:00:00,1.76
Inflation Rate (%),US,2019-09-30 00:00:00,1.71
Inflation Rate (%),US,2019-08-31 00:00:00,1.75
Inflation Rate (%),US,2019-07-31 00:00:00,1.81
Inflation Rate (%),US,2019-06-30 00:00:00,1.65
Inflation Rate (%),US,2019-05-31 00:00:00,1.79
Inflation Rate (%),US,2019-04-30 00:00:00,2.0
Inflation Rate (%),US,2019-03-31 00:00:00,1.86
Inflation Rate (%),US,2019-02-28 00:00:00,1.52
Inflation Rate (%),US,2019-01-31 00:00:00,1.55
Inflation Rate (%),US,2018-12-31 00:00:00,1.91
Inflation Rate (%),US,2018-11-30 00:00:00,2.18
Inflation Rate (%),US,2018-10-31 00:00:00,2.52
Inflation Rate (%),US,2018-09-30 00:00:00,2.28
Inflation Rate (%),US,2018-08-31 00:00:00,2.7
Inflation Rate (%),US,2018-07-31 00:00:00,2.95
Inflation Rate (%),US,2018-06-30 00:00:00,2.87
Inflation Rate (%),US,2018-05-31 00:00:00,2.8
Inflation Rate (%),US,2018-04-30 00:00:00,2.46
Inflation Rate (%),US,2018-03-31 00:00:00,2.36
Inflation Rate (%),US,2018-02-28 00:00:00,2.21
Inflation Rate (%),US,2018-01-31 00:00:00,2.07
Inflation Rate (%),US,2017-12-31 00:00:00,2.11
Inflation Rate (%),US,2017-11-30 00:00:00,2.2
Inflation Rate (%),US,2017-10-31 00:00:00,2.04
Inflation Rate (%),US,2017-09-30 00:00:00,2.23
Inflation Rate (%),US,2017-08-31 00:00:00,1.94
Inflation Rate (%),US,2017-07-31 00:00:00,1.73
Inflation Rate (%),US,2017-06-30 00:00:00,1.63
Inflation Rate (%),US,2017-05-31 00:00:00,1.87
Inflation Rate (%),US,2017-04-30 00:00:00,2.2
Inflation Rate (%),US,2017-03-31 00:00:00,2.38
Inflation Rate (%),US,2017-02-28 00:00:00,2.74
Inflation Rate (%),US,2017-01-31 00:00:00,2.5
Inflation Rate (%),US,2016-12-31 00:00:00,2.07
Inflation Rate (%),US,2016-11-30 00:00:00,1.69
Inflation Rate (%),US,2016-10-31 00:00:00,1.64
Inflation Rate (%),US,2016-09-30 00:00:00,1.46
Inflation Rate (%),US,2016-08-31 00:00:00,1.06
Inflation Rate (%),US,2016-07-31 00:00:00,0.83
Inflation Rate (%),US,2016-06-30 00:00:00,1.0
Inflation Rate (%),US,2016-05-31 00:00:00,1.02
Inflation Rate (%),US,2016-04-30 00:00:00,1.13
Inflation Rate (%),US,2016-03-31 00:00:00,0.85
Inflation Rate (%),US,2016-02-29 00:00:00,1.02
Inflation Rate (%),US,2016-01-31 00:00:00,1.37
Inflation Rate (%),US,2015-12-31 00:00:00,0.73
Inflation Rate (%),US,2015-11-30 00:00:00,0.5
Inflation Rate (%),US,2015-10-31 00:00:00,0.17
Inflation Rate (%),US,2015-09-30 00:00:00,-0.04
Inflation Rate (%),US,2015-08-31 00:00:00,0.2
Inflation Rate (%),US,2015-07-31 00:00:00,0.17
Inflation Rate (%),US,2015-06-30 00:00:00,0.12
Inflation Rate (%),US,2015-05-31 00:00:00,-0.04
Inflation Rate (%),US,2015-04-30 00:00:00,-0.2
Inflation Rate (%),US,2015-03-31 00:00:00,-0.07
Inflation Rate (%),US,2015-02-28 00:00:00,-0.03
Inflation Rate (%),US,2015-01-31 00:00:00,-0.09
Inflation Rate (%),US,2014-12-31 00:00:00,0.76
Inflation Rate (%),US,2014-11-30 00:00:00,1.32
Inflation Rate (%),US,2014-10-31 00:00:00,1.66
Inflation Rate (%),US,2014-09-30 00:00:00,1.66
Inflation Rate (%),US,2014-08-31 00:00:00,1.7
Inflation Rate (%),US,2014-07-31 00:00:00,1.99
Inflation Rate (%),US,2014-06-30 00:00:00,2.07
Inflation Rate (%),US,2014-05-31 00:00:00,2.13
Inflation Rate (%),US,2014-04-30 00:00:00,1.95
Inflation Rate (%),US,2014-03-31 00:00:00,1.51
Inflation Rate (%),US,2014-02-28 00:00:00,1.13
Inflation Rate (%),US,2014-01-31 00:00:00,1.58
Inflation Rate (%),US,2013-12-31 00:00:00,1.5
Inflation Rate (%),US,2013-11-30 00:00:00,1.24
Inflation Rate (%),US,2013-10-31 00:00:00,0.96
Inflation Rate (%),US,2013-09-30 00:00:00,1.18
Inflation Rate (%),US,2013-08-31 00:00:00,1.52
Inflation Rate (%),US,2013-07-31 00:00:00,1.96
Inflation Rate (%),US,2013-06-30 00:00:00,1.75
Inflation Rate (%),US,2013-05-31 00:00:00,1.36
Inflation Rate (%),US,2013-04-30 00:00:00,1.06
Inflation Rate (%),US,2013-03-31 00:00:00,1.47
Inflation Rate (%),US,2013-02-28 00:00:00,1.98
Inflation Rate (%),US,2013-01-31 00:00:00,1.59
Inflation Rate (%),US,2012-12-31 00:00:00,1.74
Inflation Rate (%),US,2012-11-30 00:00:00,1.76
Inflation Rate (%),US,2012-10-31 00:00:00,2.16
Inflation Rate (%),US,2012-09-30 00:00:00,1.99
Inflation Rate (%),US,2012-08-31 00:00:00,1.69
Inflation Rate (%),US,2012-07-31 00:00:00,1.41
Inflation Rate (%),US,2012-06-30 00:00:00,1.66
Inflation Rate (%),US,2012-05-31 00:00:00,1.7
Inflation Rate (%),US,2012-04-30 00:00:00,2.3
Inflation Rate (%),US,2012-03-31 00:00:00,2.65
Inflation Rate (%),US,2012-02-29 00:00:00,2.87
Inflation Rate (%),US,2012-01-31 00:00:00,2.93
Inflation Rate (%),US,2011-12-31 00:00:00,2.96
Inflation Rate (%),US,2011-11-30 00:00:00,3.39
Inflation Rate (%),US,2011-10-31 00:00:00,3.53
Inflation Rate (%),US,2011-09-30 00:00:00,3.87
Inflation Rate (%),US,2011-08-31 00:00:00,3.77
Inflation Rate (%),US,2011-07-31 00:00:00,3.63
Inflation Rate (%),US,2011-06-30 00:00:00,3.56
Inflation Rate (%),US,2011-05-31 00:00:00,3.57
Inflation Rate (%),US,2011-04-30 00:00:00,3.16
Inflation Rate (%),US,2011-03-31 00:00:00,2.68
Inflation Rate (%),US,2011-02-28 00:00:00,2.11
Inflation Rate (%),US,2011-01-31 00:00:00,1.63
Inflation Rate (%),US,2010-12-31 00:00:00,1.5
Inflation Rate (%),US,2010-11-30 00:00:00,1.14
Inflation Rate (%),US,2010-10-31 00:00:00,1.17
Inflation Rate (%),US,2010-09-30 00:00:00,1.14
Inflation Rate (%),US,2010-08-31 00:00:00,1.15
Inflation Rate (%),US,2010-07-31 00:00:00,1.24
Inflation Rate (%),US,2010-06-30 00:00:00,1.05
Inflation Rate (%),US,2010-05-31 00:00:00,2.02
Inflation Rate (%),US,2010-04-30 00:00:00,2.24
Inflation Rate (%),US,2010-03-31 00:00:00,2.31
Inflation Rate (%),US,2010-02-28 00:00:00,2.14
Inflation Rate (%),US,2010-01-31 00:00:00,2.63
Inflation Rate (%),US,2009-12-31 00:00:00,2.72
Inflation Rate (%),US,2009-11-30 00:00:00,1.84
Inflation Rate (%),US,2009-10-31 00:00:00,-0.18
Inflation Rate (%),US,2009-09-30 00:00:00,-1.29
Inflation Rate (%),US,2009-08-31 00:00:00,-1.48
Inflation Rate (%),US,2009-07-31 00:00:00,-2.1
Inflation Rate (%),US,2009-06-30 00:00:00,-1.43
Inflation Rate (%),US,2009-05-31 00:00:00,-1.28
Inflation Rate (%),US,2009-04-30 00:00:00,-0.74
Inflation Rate (%),US,2009-03-31 00:00:00,-0.38
Inflation Rate (%),US,2009-02-28 00:00:00,0.24
Inflation Rate (%),US,2009-01-31 00:00:00,0.03
Inflation Rate (%),US,2008-12-31 00:00:00,0.09
Inflation Rate (%),US,2008-11-30 00:00:00,1.07
Inflation Rate (%),US,2008-10-31 00:00:00,3.66
Inflation Rate (%),US,2008-09-30 00:00:00,4.94
Inflation Rate (%),US,2008-08-31 00:00:00,5.37
Inflation Rate (%),US,2008-07-31 00:00:00,5.6
Inflation Rate (%),US,2008-06-30 00:00:00,5.02
Inflation Rate (%),US,2008-05-31 00:00:00,4.18
Inflation Rate (%),US,2008-04-30 00:00:00,3.94
Inflation Rate (%),US,2008-03-31 00:00:00,3.98
Inflation Rate (%),US,2008-02-29 00:00:00,4.03
Inflation Rate (%),US,2008-01-31 00:00:00,4.28
Inflation Rate (%),US,2007-12-31 00:00:00,4.08
Inflation Rate (%),US,2007-11-30 00:00:00,4.31
Inflation Rate (%),US,2007-10-31 00:00:00,3.54
Inflation Rate (%),US,2007-09-30 00:00:00,2.76
Inflation Rate (%),US,2007-08-31 00:00:00,1.97
Inflation Rate (%),US,2007-07-31 00:00:00,2.36
Inflation Rate (%),US,2007-06-30 00:00:00,2.69
Inflation Rate (%),US,2007-05-31 00:00:00,2.69
Inflation Rate (%),US,2007-04-30 00:00:00,2.57
Inflation Rate (%),US,2007-03-31 00:00:00,2.78
Inflation Rate (%),US,2007-02-28 00:00:00,2.42
Inflation Rate (%),US,2007-01-31 00:00:00,2.08
Inflation Rate (%),US,2006-12-31 00:00:00,2.54
Inflation Rate (%),US,2006-11-30 00:00:00,1.97
Inflation Rate (%),US,2006-10-31 00:00:00,1.31
Inflation Rate (%),US,2006-09-30 00:00:00,2.06
Inflation Rate (%),US,2006-08-31 00:00:00,3.82
Inflation Rate (%),US,2006-07-31 00:00:00,4.15
Inflation Rate (%),US,2006-06-30 00:00:00,4.32
Inflation Rate (%),US,2006-05-31 00:00:00,4.17
Inflation Rate (%),US,2006-04-30 00:00:00,3.55
Inflation Rate (%),US,2006-03-31 00:00:00,3.36
Inflation Rate (%),US,2006-02-28 00:00:00,3.6
Inflation Rate (%),US,2006-01-31 00:00:00,3.99
Inflation Rate (%),US,2005-12-31 00:00:00,3.42
Inflation Rate (%),US,2005-11-30 00:00:00,3.46
Inflation Rate (%),US,2005-10-31 00:00:00,4.35
Inflation Rate (%),US,2005-09-30 00:00:00,4.69
Inflation Rate (%),US,2005-08-31 00:00:00,3.64
Inflation Rate (%),US,2005-07-31 00:00:00,3.17
Inflation Rate (%),US,2005-06-30 00:00:00,2.53
Inflation Rate (%),US,2005-05-31 00:00:00,2.8
Inflation Rate (%),US,2005-04-30 00:00:00,3.51
Inflation Rate (%),US,2005-03-31 00:00:00,3.15
Inflation Rate (%),US,2005-02-28 00:00:00,3.01
Inflation Rate (%),US,2005-01-31 00:00:00,2.97
Inflation Rate (%),US,2004-12-31 00:00:00,3.26
Inflation Rate (%),US,2004-11-30 00:00:00,3.52
Inflation Rate (%),US,2004-10-31 00:00:00,3.19
Inflation Rate (%),US,2004-09-30 00:00:00,2.54
Inflation Rate (%),US,2004-08-31 00:00:00,2.65
Inflation Rate (%),US,2004-07-31 00:00:00,2.99
Inflation Rate (%),US,2004-06-30 00:00:00,3.27
Inflation Rate (%),US,2004-05-31 00:00:00,3.05
Inflation Rate (%),US,2004-04-30 00:00:00,2.29
Inflation Rate (%),US,2004-03-31 00:00:00,1.74
Inflation Rate (%),US,2004-02-29 00:00:00,1.69
Inflation Rate (%),US,2004-01-31 00:00:00,1.93
Inflation Rate (%),US,2003-12-31 00:00:00,1.88
Inflation Rate (%),US,2003-11-30 00:00:00,1.76
Inflation Rate (%),US,2003-10-31 00:00:00,2.04
Inflation Rate (%),US,2003-09-30 00:00:00,2.32
Inflation Rate (%),US,2003-08-31 00:00:00,2.16
Inflation Rate (%),US,2003-07-31 00:00:00,2.11
Inflation Rate (%),US,2003-06-30 00:00:00,2.11
Inflation Rate (%),US,2003-05-31 00:00:00,2.06
Inflation Rate (%),US,2003-04-30 00:00:00,2.22
Inflation Rate (%),US,2003-03-31 00:00:00,3.02
Inflation Rate (%),US,2003-02-28 00:00:00,2.98
Inflation Rate (%),US,2003-01-31 00:00:00,2.6
Inflation Rate (%),US,2002-12-31 00:00:00,2.38
Inflation Rate (%),US,2002-11-30 00:00:00,2.2
Inflation Rate (%),US,2002-10-31 00:00:00,2.03
Inflation Rate (%),US,2002-09-30 00:00:00,1.51
Inflation Rate (%),US,2002-08-31 00:00:00,1.8
Inflation Rate (%),US,2002-07-31 00:00:00,1.46
Inflation Rate (%),US,2002-06-30 00:00:00,1.07
Inflation Rate (%),US,2002-05-31 00:00:00,1.18
Inflation Rate (%),US,2002-04-30 00:00:00,1.64
Inflation Rate (%),US,2002-03-31 00:00:00,1.48
Inflation Rate (%),US,2002-02-28 00:00:00,1.14
Inflation Rate (%),US,2002-01-31 00:00:00,1.14
Inflation Rate (%),US,2001-12-31 00:00:00,1.55
Inflation Rate (%),US,2001-11-30 00:00:00,1.9
Inflation Rate (%),US,2001-10-31 00:00:00,2.13
Inflation Rate (%),US,2001-09-30 00:00:00,2.65
Inflation Rate (%),US,2001-08-31 00:00:00,2.72
Inflation Rate (%),US,2001-07-31 00:00:00,2.72
Inflation Rate (%),US,2001-06-30 00:00:00,3.25
Inflation Rate (%),US,2001-05-31 00:00:00,3.62
Inflation Rate (%),US,2001-04-30 00:00:00,3.27
Inflation Rate (%),US,2001-03-31 00:00:00,2.92
Inflation Rate (%),US,2001-02-28 00:00:00,3.53
Inflation Rate (%),US,2001-01-31 00:00:00,3.73
Inflation Rate (%),US,2000-12-31 00:00:00,3.39
Inflation Rate (%),US,2000-11-30 00:00:00,3.45
Inflation Rate (%),US,2000-10-31 00:00:00,3.45
Inflation Rate (%),US,2000-09-30 00:00:00,3.45
Inflation Rate (%),US,2000-08-31 00:00:00,3.41
Inflation Rate (%),US,2000-07-31 00:00:00,3.66
Inflation Rate (%),US,2000-06-30 00:00:00,3.73
Inflation Rate (%),US,2000-05-31 00:00:00,3.19
Inflation Rate (%),US,2000-04-30 00:00:00,3.07
Inflation Rate (%),US,2000-03-31 00:00:00,3.76
Inflation Rate (%),US,2000-02-29 00:00:00,3.22
Inflation Rate (%),US,2000-01-31 00:00:00,2.74
Inflation Rate (%),US,1999-12-31 00:00:00,2.68
Inflation Rate (%),US,1999-11-30 00:00:00,2.62
Inflation Rate (%),US,1999-10-31 00:00:00,2.56
Inflation Rate (%),US,1999-09-30 00:00:00,2.63
Inflation Rate (%),US,1999-08-31 00:00:00,2.26
Inflation Rate (%),US,1999-07-31 00:00:00,2.14
Inflation Rate (%),US,1999-06-30 00:00:00,1.96
Inflation Rate (%),US,1999-05-31 00:00:00,2.09
Inflation Rate (%),US,1999-04-30 00:00:00,2.28
Inflation Rate (%),US,1999-03-31 00:00:00,1.73
Inflation Rate (%),US,1999-02-28 00:00:00,1.61
Inflation Rate (%),US,1999-01-31 00:00:00,1.67
Inflation Rate (%),US,1998-12-31 00:00:00,1.61
Inflation Rate (%),US,1998-11-30 00:00:00,1.55
Inflation Rate (%),US,1998-10-31 00:00:00,1.49
Inflation Rate (%),US,1998-09-30 00:00:00,1.49
Inflation Rate (%),US,1998-08-31 00:00:00,1.62
Inflation Rate (%),US,1998-07-31 00:00:00,1.68
Inflation Rate (%),US,1998-06-30 00:00:00,1.68
Inflation Rate (%),US,1998-05-31 00:00:00,1.69
Inflation Rate (%),US,1998-04-30 00:00:00,1.44
Inflation Rate (%),US,1998-03-31 00:00:00,1.38
Inflation Rate (%),US,1998-02-28 00:00:00,1.44
Inflation Rate (%),US,1998-01-31 00:00:00,1.57
Inflation Rate (%),US,1997-12-31 00:00:00,1.7
Inflation Rate (%),US,1997-11-30 00:00:00,1.83
Inflation Rate (%),US,1997-10-31 00:00:00,2.08
Inflation Rate (%),US,1997-09-30 00:00:00,2.15
Inflation Rate (%),US,1997-08-31 00:00:00,2.22
Inflation Rate (%),US,1997-07-31 00:00:00,2.23
Inflation Rate (%),US,1997-06-30 00:00:00,2.3
Inflation Rate (%),US,1997-05-31 00:00:00,2.24
Inflation Rate (%),US,1997-04-30 00:00:00,2.5
Inflation Rate (%),US,1997-03-31 00:00:00,2.76
Inflation Rate (%),US,1997-02-28 00:00:00,3.03
Inflation Rate (%),US,1997-01-31 00:00:00,3.04
Inflation Rate (%),US,1996-12-31 00:00:00,3.32
Inflation Rate (%),US,1996-11-30 00:00:00,3.26
Inflation Rate (%),US,1996-10-31 00:00:00,2.99
Inflation Rate (%),US,1996-09-30 00:00:00,3.0
Inflation Rate (%),US,1996-08-31 00:00:00,2.88
Inflation Rate (%),US,1996-07-31 00:00:00,2.95
Inflation Rate (%),US,1996-06-30 00:00:00,2.75
Inflation Rate (%),US,1996-05-31 00:00:00,2.89
Inflation Rate (%),US,1996-04-30 00:00:00,2.9
Inflation Rate (%),US,1996-03-31 00:00:00,2.84
Inflation Rate (%),US,1996-02-29 00:00:00,2.65
Inflation Rate (%),US,1996-01-31 00:00:00,2.73
Inflation Rate (%),US,1995-12-31 00:00:00,2.54
Inflation Rate (%),US,1995-11-30 00:00:00,2.61
Inflation Rate (%),US,1995-10-31 00:00:00,2.81
Inflation Rate (%),US,1995-09-30 00:00:00,2.54
Inflation Rate (%),US,1995-08-31 00:00:00,2.62
Inflation Rate (%),US,1995-07-31 00:00:00,2.76
Inflation Rate (%),US,1995-06-30 00:00:00,3.04
Inflation Rate (%),US,1995-05-31 00:00:00,3.19
Inflation Rate (%),US,1995-04-30 00:00:00,3.05
Inflation Rate (%),US,1995-03-31 00:00:00,2.85
Inflation Rate (%),US,1995-02-28 00:00:00,2.86
Inflation Rate (%),US,1995-01-31 00:00:00,2.8
Inflation Rate (%),US,1994-12-31 00:00:00,2.67
Inflation Rate (%),US,1994-11-30 00:00:00,2.67
Inflation Rate (%),US,1994-10-31 00:00:00,2.61
Inflation Rate (%),US,1994-09-30 00:00:00,2.96
Inflation Rate (%),US,1994-08-31 00:00:00,2.9
Inflation Rate (%),US,1994-07-31 00:00:00,2.77
Inflation Rate (%),US,1994-06-30 00:00:00,2.49
Inflation Rate (%),US,1994-05-31 00:00:00,2.29
Inflation Rate (%),US,1994-04-30 00:00:00,2.36
Inflation Rate (%),US,1994-03-31 00:00:00,2.51
Inflation Rate (%),US,1994-02-28 00:00:00,2.52
Inflation Rate (%),US,1994-01-31 00:00:00,2.52
Inflation Rate (%),US,1993-12-31 00:00:00,2.75
Inflation Rate (%),US,1993-11-30 00:00:00,2.68
Inflation Rate (%),US,1993-10-31 00:00:00,2.75
Inflation Rate (%),US,1993-09-30 00:00:00,2.69
Inflation Rate (%),US,1993-08-31 00:00:00,2.77
Inflation Rate (%),US,1993-07-31 00:00:00,2.78
Inflation Rate (%),US,1993-06-30 00:00:00,3.0
Inflation Rate (%),US,1993-05-31 00:00:00,3.22
Inflation Rate (%),US,1993-04-30 00:00:00,3.23
Inflation Rate (%),US,1993-03-31 00:00:00,3.09
Inflation Rate (%),US,1993-02-28 00:00:00,3.25
Inflation Rate (%),US,1993-01-31 00:00:00,3.26
Inflation Rate (%),US,1992-12-31 00:00:00,2.9
Inflation Rate (%),US,1992-11-30 00:00:00,3.05
Inflation Rate (%),US,1992-10-31 00:00:00,3.2
Inflation Rate (%),US,1992-09-30 00:00:00,2.99
Inflation Rate (%),US,1992-08-31 00:00:00,3.15
Inflation Rate (%),US,1992-07-31 00:00:00,3.16
Inflation Rate (%),US,1992-06-30 00:00:00,3.09
Inflation Rate (%),US,1992-05-31 00:00:00,3.02
Inflation Rate (%),US,1992-04-30 00:00:00,3.18
Inflation Rate (%),US,1992-03-31 00:00:00,3.19
Inflation Rate (%),US,1992-02-29 00:00:00,2.82
Inflation Rate (%),US,1992-01-31 00:00:00,2.6
Inflation Rate (%),US,1991-12-31 00:00:00,3.06
Inflation Rate (%),US,1991-11-30 00:00:00,2.99
Inflation Rate (%),US,1991-10-31 00:00:00,2.92
Inflation Rate (%),US,1991-09-30 00:00:00,3.39
Inflation Rate (%),US,1991-08-31 00:00:00,3.8
Inflation Rate (%),US,1991-07-31 00:00:00,4.45
Inflation Rate (%),US,1991-06-30 00:00:00,4.7
Inflation Rate (%),US,1991-05-31 00:00:00,4.95
Inflation Rate (%),US,1991-04-30 00:00:00,4.89
Inflation Rate (%),US,1991-03-31 00:00:00,4.9
Inflation Rate (%),US,1991-02-28 00:00:00,5.31
Inflation Rate (%),US,1991-01-31 00:00:00,5.65
Inflation Rate (%),US,1990-12-31 00:00:00,6.11
Inflation Rate (%),US,1990-11-30 00:00:00,6.27
Inflation Rate (%),US,1990-10-31 00:00:00,6.29
Inflation Rate (%),US,1990-09-30 00:00:00,6.16
Inflation Rate (%),US,1990-08-31 00:00:00,5.62
Inflation Rate (%),US,1990-07-31 00:00:00,4.82
Inflation Rate (%),US,1990-06-30 00:00:00,4.67
Inflation Rate (%),US,1990-05-31 00:00:00,4.36
Inflation Rate (%),US,1990-04-30 00:00:00,4.71
Inflation Rate (%),US,1990-03-31 00:00:00,5.23
Inflation Rate (%),US,1990-02-28 00:00:00,5.26
Inflation Rate (%),US,1990-01-31 00:00:00,5.2
Inflation Rate (%),US,1989-12-31 00:00:00,4.65
Inflation Rate (%),US,1989-11-30 00:00:00,4.66
Inflation Rate (%),US,1989-10-31 00:00:00,4.49
Inflation Rate (%),US,1989-09-30 00:00:00,4.34
Inflation Rate (%),US,1989-08-31 00:00:00,4.71
Inflation Rate (%),US,1989-07-31 00:00:00,4.98
Inflation Rate (%),US,1989-06-30 00:00:00,5.17
Inflation Rate (%),US,1989-05-31 00:00:00,5.36
Inflation Rate (%),US,1989-04-30 00:00:00,5.12
Inflation Rate (%),US,1989-03-31 00:00:00,4.98
Inflation Rate (%),US,1989-02-28 00:00:00,4.83
Inflation Rate (%),US,1989-01-31 00:00:00,4.67
Inflation Rate (%),US,1988-12-31 00:00:00,4.42
Inflation Rate (%),US,1988-11-30 00:00:00,4.25
Inflation Rate (%),US,1988-10-31 00:00:00,4.25
Inflation Rate (%),US,1988-09-30 00:00:00,4.17
Inflation Rate (%),US,1988-08-31 00:00:00,4.02
Inflation Rate (%),US,1988-07-31 00:00:00,4.13
Inflation Rate (%),US,1988-06-30 00:00:00,3.96
Inflation Rate (%),US,1988-05-31 00:00:00,3.89
Inflation Rate (%),US,1988-04-30 00:00:00,3.9
Inflation Rate (%),US,1988-03-31 00:00:00,3.93
Inflation Rate (%),US,1988-02-29 00:00:00,3.94
Inflation Rate (%),US,1988-01-31 00:00:00,4.05
Inflation Rate (%),US,1987-12-31 00:00:00,4.43
Inflation Rate (%),US,1987-11-30 00:00:00,4.53
Inflation Rate (%),US,1987-10-31 00:00:00,4.53
Inflation Rate (%),US,1987-09-30 00:00:00,4.36
Inflation Rate (%),US,1987-08-31 00:00:00,4.28
Inflation Rate (%),US,1987-07-31 00:00:00,3.93
Inflation Rate (%),US,1987-06-30 00:00:00,3.65
