ticker,price,date
SPY,419.43,2022-03-07
CMCSA,46.3,2022-03-07
KMI,18.72,2022-03-07
INTC,47.68,2022-03-07
MU,75.7,2022-03-07
GDX,38.36,2022-03-07
GE,85.38,2022-03-07
BAC,38.34,2022-03-07
EEM,42.95,2022-03-07
XLF,35.87,2022-03-07
AAPL,159.3,2022-03-07
MSFT,278.91,2022-03-07
SIRI,6.38,2022-03-07
HPQ,35.66,2022-03-07
CX,4.43,2022-03-07
EFA,66.84,2022-03-07
CZR,69.64,2022-03-07
QQQ,324.86,2022-03-07
F,15.97,2022-03-07
AMD,102.95,2022-03-07
SNAP,30.22,2022-03-07
FB,187.47,2022-03-07
WFC,45.81,2022-03-07
AIG,54.67,2022-03-07
T,23.57,2022-03-07
C,55.55,2022-03-07
VALE,20.6,2022-03-07
MS,83.45,2022-03-07
JPM,129.21,2022-03-07
ORCL,74.32,2022-03-07
NKE,124.44,2022-03-07
VWO,44.16,2022-03-07
PG,152.84,2022-03-07
FXI,31.72,2022-03-07
IWM,193.72,2022-03-07
GSM,8.48,2022-03-07
BBD,3.73,2022-03-07
PFE,47.98,2022-03-07
JD,60.52,2022-03-07
NOK,4.53,2022-03-07
TWTR,32.42,2022-03-07
AMLP,38.08,2022-03-07
AVGO,570.7,2022-03-07
AMAT,119.22,2022-03-07
UVXY,22.4,2022-03-07
VXX,28.49,2022-03-07
VEA,44.13,2022-03-07
ZNGA,9.04,2022-03-07
XOM,87.12,2022-03-07
QCOM,150.1,2022-03-07
VIPS,7.48,2022-03-07
GLD,186.41,2022-03-07
CSCO,55.59,2022-03-07
AXP,159.13,2022-03-07
BMY,68.77,2022-03-07
V,190.7,2022-03-07
USO,82.37,2022-03-07
GRPN,17.0,2022-03-07
OIH,282.5,2022-03-07
GERN,1.03,2022-03-07
KEY,22.12,2022-03-07
RF,21.26,2022-03-07
KR,57.82,2022-03-07
HAL,36.24,2022-03-07
BABA,98.66,2022-03-07
MRO,24.33,2022-03-07
GILD,60.26,2022-03-07
IEMG,52.76,2022-03-07
GM,39.83,2022-03-07
FCX,47.15,2022-03-07
CRM,196.23,2022-03-07
ATVI,80.55,2022-03-07
SQ,97.51,2022-03-07
XLK,144.27,2022-03-07
NUE,131.9,2022-03-07
XOP,125.73,2022-03-07
SWN,5.54,2022-03-07
LOW,222.26,2022-03-07
RAD,9.05,2022-03-07
VEON,0.39,2022-03-07
HYG,81.82,2022-03-07
JNK,101.86,2022-03-07
EWJ,59.03,2022-03-07
XLU,71.81,2022-03-07
SLB,42.1,2022-03-07
FLEX,15.04,2022-03-07
FOXA,41.6,2022-03-07
ABBV,149.45,2022-03-07
GIS,67.67,2022-03-07
VZ,54.68,2022-03-07
XRX,17.63,2022-03-07
CVLT,62.07,2022-03-07
IEFA,63.26,2022-03-07
X,31.2,2022-03-07
MAT,22.87,2022-03-07
DVN,59.89,2022-03-07
BKLN,21.53,2022-03-07
IBN,16.39,2022-03-07
MPC,74.54,2022-03-07
EZU,37.79,2022-03-07
PM,93.2,2022-03-07
MSCI,467.4,2022-03-07
RDN,23.1,2022-03-07
KO,61.08,2022-03-07
SRC,45.23,2022-03-07
COP,101.27,2022-03-07
CHK,85.89,2022-03-07
DIS,133.5,2022-03-07
LEN,83.26,2022-03-07
CVX,162.04,2022-03-07
PYPL,93.61,2022-03-07
GDXJ,47.56,2022-03-07
AUY,5.37,2022-03-07
DBEF,34.32,2022-03-07
WMT,141.67,2022-03-07
CLF,26.06,2022-03-07
MRK,77.73,2022-03-07
MDLZ,62.53,2022-03-07
MGM,37.48,2022-03-07
GFI,16.04,2022-03-07
KGC,5.5,2022-03-07
SCHW,76.36,2022-03-07
NBR,143.26,2022-03-07
NVDA,213.52,2022-03-07
JNJ,172.21,2022-03-07
WDC,46.61,2022-03-07
BSX,42.55,2022-03-07
ON,53.52,2022-03-07
ITUB,4.67,2022-03-07
BK,50.01,2022-03-07
HMY,5.24,2022-03-07
APA,37.92,2022-03-07
NGD,1.75,2022-03-07
KOS,5.62,2022-03-07
DAL,30.11,2022-03-07
INFY,22.58,2022-03-07
CCL,15.53,2022-03-07
MFGP,4.39,2022-03-07
PBR,13.36,2022-03-07
DISCA,25.55,2022-03-07
LPI,83.63,2022-03-07
ABT,118.86,2022-03-07
FITB,41.98,2022-03-07
PTEN,16.04,2022-03-07
USB,53.1,2022-03-07
BA,169.17,2022-03-07
GGB,5.62,2022-03-07
JBLU,11.48,2022-03-07
EBAY,54.85,2022-03-07
HBAN,14.09,2022-03-07
DB,9.53,2022-03-07
MRVL,61.17,2022-03-07
WBA,46.99,2022-03-07
CDNA,32.12,2022-03-07
RSX,5.65,2022-03-07
KNX,51.91,2022-03-07
KBH,37.06,2022-03-07
DISCK,25.48,2022-03-07
PGR,106.52,2022-03-07
XLE,76.34,2022-03-07
MO,52.85,2022-03-07
MDT,106.64,2022-03-07
RIG,4.95,2022-03-07
BCS,7.94,2022-03-07
CDEV,8.84,2022-03-07
EOG,120.15,2022-03-07
XLP,74.49,2022-03-07
HPE,15.77,2022-03-07
TXN,164.89,2022-03-07
OAS,152.45,2022-03-07
OKE,68.51,2022-03-07
CVS,104.56,2022-03-07
SVXY,47.06,2022-03-07
HES,97.12,2022-03-07
GDDY,76.75,2022-03-07
BX,109.04,2022-03-07
NLSN,16.69,2022-03-07
TS,28.42,2022-03-07
BOX,26.49,2022-03-07
OXY,55.38,2022-03-07
CVE,16.36,2022-03-07
SYF,34.76,2022-03-07
IAU,37.95,2022-03-07
MTG,13.79,2022-03-07
LUV,37.19,2022-03-07
FTI,7.66,2022-03-07
AA,85.4,2022-03-07
ABEV,2.62,2022-03-07
VTI,211.24,2022-03-07
EQR,87.77,2022-03-07
EWG,24.85,2022-03-07
ETSY,137.49,2022-03-07
TAL,2.48,2022-03-07
UNH,486.87,2022-03-07
GES,16.39,2022-03-07
AMZN,2749.06,2022-03-07
NFLX,350.26,2022-03-07
ENTG,114.99,2022-03-07
CSX,37.01,2022-03-07
WYNN,72.07,2022-03-07
FOX,38.03,2022-03-07
CNC,83.49,2022-03-07
ZION,62.23,2022-03-07
RES,10.78,2022-03-07
CI,237.85,2022-03-07
KRE,67.01,2022-03-07
WMB,33.4,2022-03-07
SYNH,74.84,2022-03-07
HBI,15.13,2022-03-07
XL,1.97,2022-03-07
PAYX,122.41,2022-03-07
D,83.35,2022-03-07
CHS,4.21,2022-03-07
CFG,45.43,2022-03-07
XLI,97.7,2022-03-07
SU,32.86,2022-03-07
SLV,23.7,2022-03-07
MMM,143.28,2022-03-07
BIIB,205.78,2022-03-07
JBL,52.6,2022-03-07
ACN,305.02,2022-03-07
NTR,99.39,2022-03-07
BRFS,2.83,2022-03-07
SBUX,84.46,2022-03-07
EWU,30.78,2022-03-07
LVS,36.1,2022-03-07
