ticker,price,date
SPY,432.17,2022-03-06
CMCSA,47.21,2022-03-06
KMI,18.84,2022-03-06
INTC,48.07,2022-03-06
MU,81.91,2022-03-06
GDX,37.4,2022-03-06
GE,89.14,2022-03-06
BAC,40.95,2022-03-06
EEM,44.62,2022-03-06
XLF,37.23,2022-03-06
AAPL,163.17,2022-03-06
MSFT,289.86,2022-03-06
SIRI,6.17,2022-03-06
HPQ,36.35,2022-03-06
CX,4.74,2022-03-06
EFA,69.03,2022-03-06
CZR,78.8,2022-03-06
QQQ,337.3,2022-03-06
F,16.85,2022-03-06
AMD,108.41,2022-03-06
SNAP,33.09,2022-03-06
FB,200.06,2022-03-06
WFC,48.79,2022-03-06
AIG,57.48,2022-03-06
T,23.87,2022-03-06
C,56.59,2022-03-06
VALE,20.15,2022-03-06
MS,86.36,2022-03-06
JPM,134.4,2022-03-06
ORCL,76.49,2022-03-06
NKE,131.18,2022-03-06
VWO,45.78,2022-03-06
PG,155.14,2022-03-06
FXI,32.97,2022-03-06
IWM,198.66,2022-03-06
GSM,9.36,2022-03-06
BBD,3.88,2022-03-06
PFE,48.65,2022-03-06
JD,63.59,2022-03-06
NOK,4.8,2022-03-06
TWTR,33.39,2022-03-06
AMLP,38.48,2022-03-06
AVGO,595.99,2022-03-06
AMAT,125.74,2022-03-06
UVXY,19.85,2022-03-06
VXX,26.2,2022-03-06
VEA,45.47,2022-03-06
ZNGA,9.14,2022-03-06
XOM,84.09,2022-03-06
QCOM,162.26,2022-03-06
VIPS,7.72,2022-03-06
GLD,183.68,2022-03-06
CSCO,56.51,2022-03-06
AXP,172.95,2022-03-06
BMY,69.36,2022-03-06
V,200.29,2022-03-06
USO,79.46,2022-03-06
GRPN,17.0,2022-03-06
OIH,261.37,2022-03-06
GERN,1.02,2022-03-06
KEY,23.22,2022-03-06
RF,22.61,2022-03-06
KR,58.94,2022-03-06
HAL,34.13,2022-03-06
BABA,100.6,2022-03-06
MRO,23.81,2022-03-06
GILD,61.86,2022-03-06
